Code,Name (en-CA),Name (fr-CA),Groups
ADVOCACY,Advocacy,Défense des droits,LEGAL
ANIMALS,Animal Services,Animaux,NATURE
ARTSCRAFTS,Arts & Crafts,Art et artisanat,ARTS
AUDOVISUAL,Audio / Visual Production,Production audiovisuelle,ARTS
AUTO,Auto Services,Services automobiles,TECHNOLOGY
BOARD,Board of Directors,Conseil d'administration,ADMIN
BUILDING,Building & Construction,Bâtiment et construction,BUILDING ; LABOUR
CAMP,Youth & Activity Camp Support,Animation de camps et d'activités jeunesse,CHILDREN
CARPENTRY,Carpentry & Woodwork,Menuiserie et travail du bois,BUILDING
CHILDCARE,Child Care,Garde d'enfants,CHILDREN ; HUMANSERVICES
CHILDFAMILY,Child & Family Services,Enfance et famille,CHILDREN ; HUMANSERVICES
CLEANING,Cleaning Services,Nettoyage,BUILDING
CLERICAL,Clerical / Typing / Filing,Secrétariat,OFFICE
COMMITTEE,Committees,Comités,ADMIN
COMMUNITY,Community / Neighbourhood Volunteering,Bénévolat dans la communauté / voisinage,COMMUNITY
COMPUTERHW,Computers & IT (Hardware Maintenance),Informatique et technologie de l'information (maintenance du matériel),TECHNOLOGY
COMPUTERNET,Computers & IT (Network Engineering),Informatique et technologie de l'information (ingénierie réseau),TECHNOLOGY
COMPUTERSOFT,Computers & IT (Software Related),Informatique et technologie de l'information (logiciel),TECHNOLOGY
COMPUTERSUPPORT,Computers & IT (User Support and Training),Informatique et technologie de l'information (soutien et formation),TECHNOLOGY ; TRAINING
COUNSELING,Counselling,Counseling,HUMANSERVICES
CULTURE,Culture & Heritage,Culture et patrimoine,ARTS
DEVELPMENTAL,Behavioural and Developmental Support Services,Soutien au comportement et au développement,HUMANSERVICES ; SPECIALNEEDS
DISASTER,Disaster Planning & Assistance,Planification et aide en cas de sinistre,EMERGENCY
DISTRESS,Distress / Crisis / Bereavement Support,Soutien en cas de détresse/crise/deuil,EMERGENCY ; HUMANSERVICES
DONATE-APPLIANCES,Donations - Small Household Appliances,Dons - Petit électroménager,DONHOUSE
DONATE-BOOKHC,"Donations - Books, Hardcover",Dons - Livres reliés,DONBOOK
DONATE-BOOKRF,"Donations - Books, Reference",Dons - Livres de référence,DONBOOK
DONATE-BOOKSC,"Donations - Books, Softcover",Dons - Livres de poche,DONBOOK
DONATE-CLOTHBABY,"Donations - Clothing, Babies",Dons - vêtements pour bébés,DONCLOTH
DONATE-CLOTHCHILD,"Donations - Clothing, Children's",Dons - vêtements pour enfants,DONCLOTH
DONATE-CLOTHMEN,"Donations - Clothing, Men's",Dons - vêtements pour hommes,DONCLOTH
DONATE-CLOTHWMN,"Donations - Clothing, Women's",Dons - vêtements pour femmes,DONCLOTH
DONATE-CRAFT,Donations - Craft Supplies,Dons - Fournitures d'artisanat,DONSUPPLY ; DONREC
