Code,Name (en-CA),Name (fr-CA)
ADMIN,"Administration, Boards & Committees","Administration, conseils d'administration et comités"
ARTS,"Arts, Crafts, & Culture","Arts, artisanat et culture"
BASICNEEDS,"Basic Needs (Food, Transportation, Shelter, Health Care)","Besoins fondamentaux (nourriture, transport, logement, santé)"
BUILDING,"Building, Construction, & Maintenance","Bâtiment, construction et entretien"
CHILDREN,Children & Youth,Enfance et jeunesse
COMMUNICATION,Communication & Outreach,Communication et promotion
COMMUNITY,Community,Communauté
DONBOOK,Donations - Books,Dons - Livres
DONCLOTH,Donations - Clothing,Dons - Vêtements
DONFOOD,Donations - Food,Dons - Aliments
DONFURN,Donations - Furniture,Dons - Meubles
DONGC,Donations - Gift Cards,Dons - Cartes cadeaux
DONHOUSE,Donations - Household Items,Dons - Articles ménagers
DONPET,Donations - Pets,Dons - Animaux de compagnie
DONREC,Donations - Toys and Recreational Items,Dons - Jouets et articles de loisirs
DONSUPPLY,Donations - Supplies,Dons - Fournitures
EMERGENCY,"Emergency, Crisis & Distress","Urgence, crise et détresse"
EVENT,Special Event,Évènement spécial
FUNDRAISING,Fundraising,Collecte de fonds
GROUP,Group / Family Volunteering,Bénévolat en groupe / en famille
HUMANSERVICES,Human Services,Services à la personne
LABOUR,Physical Labour,Travail physique
LANGUAGES,Languages,Langues
LEGAL,Legal & Advocacy,Justice et défense des droits
NATURE,"Animals, Nature & Environment","Animaux, nature et environnement"
OFFICE,Office Work & Business,Travail de bureau et affaires
PLANNING,Planning & Coordination,Planification et coordination
RECREATION,Recreation & Sports,Loisirs et sports
SALES,"Sales, Fundraising & Customer Support","Vente, collecte de fonds et soutien à la clientèle"
SEASONAL,Seasonal,Saisonnier
SPECIALNEEDS,"Special Needs, Disabilities, & Impairments","Besoins spéciaux, handicaps et déficiences"
TECHNOLOGY,"Computers, Technology & Mechanical","Informatique, technologie et mécanique"
TRAINING,Training & Education,Formation et éducation
VIRTUAL,Virtual Volunteering,Bénévolat virtuel
,,
