Code,Name (en-CA),Name (fr-CA)
ADULT,Adults (18+),Adultes (18 ans et plus)
ANYONE,Anyone,Tout public
COMMUNITY,Community Groups,Groupes communautaires
COUPLE,Couples,Couples
COURTHOURS,Court-ordered community service hours,Service communautaire ordonné par le tribunal
FAMILITY,Families,Familles
GROUP,Groups,Groupes
HEARINGIMPAIRED,Persons with a hearing impairment,Personnes ayant une déficience auditive
HIGHSCHOOL,Highschool students,Étudiants de niveau secondaire
INDIVIDUAL,Individuals,Particuliers
LIMITEDMOBILITY,Persons with limited mobility,Personnes ayant une mobilité réduite
MEN,Men,Hommes
MENTALDISABILITY,Persons with a mental disability,Personnes ayant une déficience mentale
NEWCOMER,Newcomers / English as a second language,Nouveaux arrivants / Anglais langue seconde
PHYISICALDISABILITY,Persons with a physical disability,Personnes ayant une déficience physique
POSTSECONDARY,Post-secondary students,Étudiants de niveau postsecondaire
SENIOR,Seniors (55+),Aînés (55 ans et plus)
VISUALLYIMPAIRED,Persons with a visual impairment,Personnes ayant une déficience visuelle
WOMEN,Women,Femmes
WORKPLACE,Workplaces / Corporate Groups,Entreprises / Groupes professionnels
YOUTH,Youth (12-18),Jeunes (12-18 ans)
